service_radius,user_num,semantic_ratio,sum_SemCom,duration,alloc_func
0.05,30,0.4400000000000002,1.5310444124111657,0.0021440982818603516,avg
0.05,30,0.45000000000000023,1.530846210612634,0.0021567344665527344,avg
0.05,30,0.46000000000000024,1.5312054666422885,0.0021452903747558594,avg
0.05,30,0.47000000000000025,1.6467783244281544,0.002112150192260742,avg
0.05,30,0.48000000000000026,1.6439660855580733,0.002091646194458008,avg
0.05,30,0.49000000000000027,1.6442717452023292,0.0021009445190429688,avg
0.05,30,0.5000000000000002,1.7591903946293157,0.0020508766174316406,avg
0.05,30,0.01,0.03839827015687427,0.003350496292114258,rand
0.05,30,0.02,0.03818503745012452,0.003143787384033203,rand
0.05,30,0.03,0.03806351252949092,0.0031309127807617188,rand
0.05,30,0.04,0.1536640066537951,0.0030705928802490234,rand
0.05,30,0.05,0.1541826717142653,0.0030670166015625,rand
0.05,30,0.060000000000000005,0.1554106157982546,0.0030782222747802734,rand
0.05,30,0.07,0.269873154490329,0.0030066967010498047,rand
0.05,30,0.08,0.26827271888160165,0.003019094467163086,rand
0.05,30,0.09,0.2703506122634489,0.0030384063720703125,rand
0.05,30,0.09999999999999999,0.2691215650682727,0.0030405521392822266,rand
0.05,30,0.10999999999999999,0.389495488059079,0.002955198287963867,rand
0.05,30,0.11999999999999998,0.3833095883970314,0.0029981136322021484,rand
0.05,30,0.12999999999999998,0.3828831496498497,0.00321197509765625,rand
0.05,30,0.13999999999999999,0.5014085701132339,0.002913236618041992,rand
0.05,30,0.15,0.49819857612719554,0.002949953079223633,rand
0.05,30,0.16,0.4983801643523292,0.002925872802734375,rand
0.05,30,0.17,0.6140060515604896,0.002869129180908203,rand
0.05,30,0.18000000000000002,0.613352111406877,0.0029125213623046875,rand
0.05,30,0.19000000000000003,0.6141065037160577,0.0029184818267822266,rand
0.05,30,0.20000000000000004,0.72928078766441,0.002823352813720703,rand
0.05,30,0.21000000000000005,0.7272434991661775,0.0028257369995117188,rand
0.05,30,0.22000000000000006,0.7281241594238059,0.002826213836669922,rand
0.05,30,0.23000000000000007,0.7270102006212359,0.002866983413696289,rand
